 fishing_year,identification,capture_method,method,target,area,latitude,longitude,excluded,status,taxon
2010/2011,necropsy,hook,surface longline,Bigeye tuna,West Coast North Island,170.8474259,-33.43184662,,dead,Bird
2010/2011,observer,hook,bottom longline,Ling,Chatham Rise,178.6896204,-42.92316048,,alive,Bird
2010/2011,observer,tangled,surface longline,Bigeye tuna,West Coast North Island,170.7246605,-33.44835817,,alive,Bird
2010/2011,observer,tangled,surface longline,Bigeye tuna,West Coast North Island,170.7190978,-33.44019785,,alive,Bird
2010/2011,observer,hook,bottom longline,Ling,Chatham Rise,178.9285759,-42.94496962,,alive,Bird
2010/2011,observer,hook,bottom longline,Ling,Chatham Rise,178.9712941,-42.92663548,,alive,Bird
2010/2011,necropsy,hook,bottom longline,Ling,Chatham Rise,177.9873762,-42.98837132,,dead,Bird
2010/2011,observer,net,trawl,Hoki,Chatham Rise,177.8533602,-42.83437153,,alive,Bird
2010/2011,observer,net,trawl,Hoki,Chatham Rise,177.8737768,-42.87421383,,alive,Bird
2010/2011,observer,net,trawl,Silver warehou,East Coast South Island,172.7178746,-44.58941169,,alive,Bird
2010/2011,observer,hook,bottom longline,Ling,Chatham Rise,176.8805627,-42.73316032,,alive,Bird
2010/2011,observer,net,trawl,Jack mackerel,West Coast North Island,174.167535,-37.76276985,,dead,Dolphin
2010/2011,necropsy,hook,bottom longline,Ling,Chatham Rise,176.8843971,-42.82769656,,dead,Bird
2010/2011,necropsy,warp or door,trawl,Scampi,Chatham Rise,177.321117,-42.96956475,,dead,Bird
2010/2011,necropsy,hook,bottom longline,Ling,Chatham Rise,177.0959585,-42.80325925,,dead,Bird
2010/2011,necropsy,hook,bottom longline,Ling,Chatham Rise,177.0094756,-42.82551732,,dead,Bird
2010/2011,necropsy,net,trawl,Hoki,Chatham Rise,177.7239001,-42.87453326,,dead,Bird
2010/2011,necropsy,net,trawl,Hoki,Chatham Rise,177.6947929,-42.87114632,,dead,Bird
2010/2011,necropsy,warp or door,trawl,Hoki,Chatham Rise,178.3464911,-42.93124204,,dead,Bird
2010/2011,observer,net,trawl,Hoki,Chatham Rise,177.6887798,-42.83657292,,alive,Bird
2010/2011,necropsy,hook,surface longline,Bigeye tuna,Northland and Hauraki,176.0359199,-34.84356048,,dead,Bird
2010/2011,necropsy,hook,surface longline,Bigeye tuna,Northland and Hauraki,176.0719639,-34.82739968,,dead,Bird
2010/2011,necropsy,hook,bottom longline,Ling,Chatham Rise,177.6465341,-42.87194271,,dead,Bird
2010/2011,observer,hook,surface longline,Bigeye tuna,Northland and Hauraki,176.172083,-34.69254596,,alive,Bird
2010/2011,observer,net,setnet,Moki,East Coast South Island,173.6448464,-42.45157402,,dead,Dolphin
2010/2011,necropsy,hook,surface longline,Bigeye tuna,Northland and Hauraki,176.1594968,-34.70186456,,dead,Bird
2010/2011,photograph,other,trawl,Scampi,Chatham Rise,176.8050489,-43.10320046,,dead,Bird
2010/2011,observer,net,trawl,Jack mackerel,West Coast North Island,174.177743,-37.43550108,,dead,Dolphin
2010/2011,necropsy,net,trawl,Hoki,Stewart Snares Shelf,169.3323228,-47.19997837,,dead,Bird
2010/2011,observer,net,trawl,Jack mackerel,West Coast North Island,173.7848305,-38.16133705,,dead,Dolphin
2010/2011,observer,hook,bottom longline,Ling,Chatham Rise,178.9548608,-42.97433067,,alive,Bird
2010/2011,observer,hook,bottom longline,Ling,Chatham Rise,178.9510524,-42.93177149,,alive,Bird
2010/2011,necropsy,net,trawl,Hoki,Chatham Rise,177.7730568,-42.91016918,,dead,Bird
2010/2011,observer,net,trawl,Barracouta,Stewart Snares Shelf,168.5304593,-47.15308678,,dead,Seal
2010/2011,observer,net,trawl,Barracouta,Stewart Snares Shelf,166.8805481,-48.32817825,,alive,Shark
2010/2011,necropsy,hook,surface longline,Bigeye tuna,Bay of Plenty,177.0598521,-35.75578897,,dead,Bird
2010/2011,necropsy,hook,surface longline,Bigeye tuna,Bay of Plenty,177.0667656,-35.75967198,,dead,Bird
2010/2011,necropsy,net,trawl,Silver warehou,East Coast South Island,173.2981364,-44.248583,,dead,Bird
2010/2011,necropsy,net,trawl,Silver warehou,East Coast South Island,173.9468145,-43.73787244,,dead,Bird
2010/2011,observer,net,trawl,Jack mackerel,West Coast North Island,174.0959384,-37.76808654,,dead,Dolphin
2010/2011,observer,net,trawl,Arrow squid,Stewart Snares Shelf,167.2522032,-48.78575887,,dead,Seal
2010/2011,imputation,deck,trawl,Smooth oreo,Subantarctic,170.8221592,-48.49521433,deck,alive,Bird
2010/2011,observer,deck,bottom longline,Bluenose,East Coast North Island,178.3610277,-39.63154492,deck,alive,Bird
2010/2011,necropsy,net,trawl,Arrow squid,Stewart Snares Shelf,167.7877915,-48.67219498,,dead,Bird
2010/2011,necropsy,deck,trawl,Black oreo,Subantarctic,177.1605863,-47.39715756,deck,dead,Bird
2010/2011,necropsy,net,trawl,Arrow squid,Stewart Snares Shelf,166.7679883,-48.84933187,,dead,Bird
2010/2011,observer,net,trawl,Silver warehou,Stewart Snares Shelf,169.5383999,-47.1162539,,dead,Shark
2010/2011,necropsy,net,trawl,Arrow squid,Stewart Snares Shelf,166.4292594,-48.697475,,dead,Bird
2010/2011,necropsy,net,trawl,Hake,Stewart Snares Shelf,166.6056359,-48.99353739,,dead,Bird
2010/2011,necropsy,net,trawl,Hoki,East Coast South Island,174.5221321,-44.07020289,,dead,Bird
2010/2011,necropsy,net,trawl,Arrow squid,Stewart Snares Shelf,170.618376,-46.24218646,,dead,Bird
2010/2011,observer,net,trawl,Arrow squid,Stewart Snares Shelf,170.6192541,-46.75542885,decomposed,decomposed,Seal
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.7894557,-51.09633438,,alive,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.7812572,-51.09931522,,dead,Bird
2010/2011,observer,net,trawl,Scampi,Auckland Islands,166.8234332,-51.11424797,,alive,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.8104011,-51.08090431,,dead,Bird
2010/2011,observer,deck,bottom longline,Patagonian toothfish,Fiordland,161.4163336,-51.58356345,deck,alive,Bird
2010/2011,observer,deck,bottom longline,Patagonian toothfish,Fiordland,161.3907529,-51.60754495,deck,alive,Bird
2010/2011,observer,deck,bottom longline,Patagonian toothfish,Fiordland,161.3470208,-51.57270081,deck,alive,Bird
2010/2011,observer,hook,bottom longline,Bluenose,Bay of Plenty,176.9416702,-37.44137696,,alive,Bird
2010/2011,observer,hook,bottom longline,Bluenose,Bay of Plenty,176.9256055,-37.465624,,alive,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.9247681,-50.8350466,,dead,Bird
2010/2011,observer,deck,bottom longline,Patagonian toothfish,Auckland Islands,167.6515793,-51.31918623,deck,alive,Bird
2010/2011,necropsy,net,trawl,Arrow squid,Stewart Snares Shelf,166.9417661,-48.87957627,,dead,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.595799,-51.0444729,,alive,Bird
2010/2011,necropsy,net,trawl,Arrow squid,Stewart Snares Shelf,167.2655352,-48.8124008,,dead,Bird
2010/2011,necropsy,net,trawl,Hoki,East Coast South Island,174.7964379,-44.09518426,,dead,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.9826763,-50.91877164,,dead,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,167.0178058,-50.90805484,,dead,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.9952616,-50.88636163,,alive,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.7064581,-50.97995228,,dead,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.7187059,-51.01927012,,dead,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.6907076,-51.00257981,,dead,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.6861341,-50.99462404,,alive,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.7232085,-50.9876209,,alive,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.6973702,-51.00363328,,alive,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.6992117,-50.99330707,,dead,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.694072,-51.01558648,,dead,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.7031501,-50.99191916,,dead,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.6955508,-50.99620189,,dead,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.7131516,-50.9948025,,dead,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.6965986,-51.00285341,,alive,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.6987133,-51.01338183,,alive,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.680361,-50.9790862,,alive,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.7150634,-51.00539027,,dead,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.6890088,-51.01386269,,dead,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.6851144,-51.01542985,,alive,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.6768938,-51.02009423,,alive,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.701245,-50.98966836,,dead,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.6905235,-50.97604144,,dead,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.6846467,-51.01373467,,dead,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.675648,-51.01992922,,dead,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.7002452,-50.97957555,,dead,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.6871,-50.98183081,,alive,Bird
2010/2011,necropsy,warp or door,trawl,Arrow squid,Stewart Snares Shelf,168.3727865,-48.18447203,,dead,Bird
2010/2011,necropsy,net,trawl,Arrow squid,Stewart Snares Shelf,167.3511214,-48.78455836,,dead,Bird
2010/2011,photograph,net,trawl,Arrow squid,Stewart Snares Shelf,167.5060779,-48.75930086,,dead,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.4320426,-51.08787789,,alive,Bird
2010/2011,photograph,net,trawl,Silver warehou,Stewart Snares Shelf,168.0603254,-48.38810828,,dead,Bird
2010/2011,imputation,net,trawl,Silver warehou,Stewart Snares Shelf,168.0362291,-48.40523237,,alive,Bird
2010/2011,imputation,net,trawl,Silver warehou,Stewart Snares Shelf,168.0630683,-48.38173544,,alive,Bird
2010/2011,necropsy,net,trawl,Hoki,East Coast South Island,174.3486832,-43.95437814,,dead,Bird
2010/2011,photograph,net,trawl,Silver warehou,Stewart Snares Shelf,168.755759,-47.82214762,,dead,Bird
2010/2011,observer,net,trawl,Silver warehou,Stewart Snares Shelf,168.7665201,-47.81495304,,alive,Bird
2010/2011,imputation,net,trawl,Silver warehou,Stewart Snares Shelf,168.7294949,-47.80091664,,alive,Bird
2010/2011,necropsy,net,trawl,Arrow squid,Stewart Snares Shelf,168.1486857,-48.34434882,,dead,Bird
2010/2011,necropsy,net,trawl,Arrow squid,Stewart Snares Shelf,168.1250025,-48.36497068,,dead,Bird
2010/2011,necropsy,net,trawl,Arrow squid,Stewart Snares Shelf,168.1413795,-48.33640855,,dead,Bird
2010/2011,necropsy,warp or door,trawl,Arrow squid,Stewart Snares Shelf,168.1583367,-48.36060988,,dead,Bird
2010/2011,necropsy,net,trawl,Arrow squid,Stewart Snares Shelf,168.162279,-48.34453125,,dead,Bird
2010/2011,necropsy,net,trawl,Arrow squid,Stewart Snares Shelf,168.140774,-48.34578455,,dead,Bird
2010/2011,necropsy,net,trawl,Arrow squid,Stewart Snares Shelf,168.1277617,-48.3586222,,dead,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.9961051,-50.99558718,,alive,Bird
2010/2011,observer,net,trawl,Arrow squid,Stewart Snares Shelf,168.8211462,-47.74785076,,alive,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.9334888,-50.94179486,,alive,Bird
2010/2011,observer,unknown,trawl,Silver warehou,Stewart Snares Shelf,169.7283164,-46.94403796,,alive,Bird
2010/2011,necropsy,net,trawl,Scampi,Auckland Islands,166.597582,-51.06461736,,dead,Bird
2010/2011,necropsy,net,trawl,Scampi,Auckland Islands,166.5949528,-51.02575497,,dead,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.6131109,-51.04230363,,dead,Bird
2010/2011,photograph,net,trawl,Arrow squid,Stewart Snares Shelf,168.89007,-47.68942669,,dead,Bird
2010/2011,observer,net,trawl,Arrow squid,Stewart Snares Shelf,168.8833743,-47.6934818,,dead,Seal
2010/2011,observer,deck,bottom longline,Ling,Subantarctic,168.777743,-51.46862716,deck,alive,Bird
2010/2011,photograph,net,trawl,Arrow squid,Stewart Snares Shelf,168.6073159,-48.0075686,,dead,Bird
2010/2011,imputation,deck,trawl,Arrow squid,Stewart Snares Shelf,168.316062,-48.22649066,deck,alive,Bird
2010/2011,observer,net,trawl,Barracouta,East Coast South Island,173.8010648,-43.53005307,,dead,Dolphin
2010/2011,necropsy,net,trawl,Arrow squid,Stewart Snares Shelf,169.2791278,-47.18066975,,dead,Bird
2010/2011,necropsy,net,trawl,Arrow squid,Stewart Snares Shelf,169.2942757,-47.19988077,,dead,Bird
2010/2011,necropsy,net,trawl,Arrow squid,Stewart Snares Shelf,167.5708934,-48.71534173,,dead,Bird
2010/2011,observer,net,trawl,Arrow squid,Stewart Snares Shelf,167.5098441,-48.73029892,,alive,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.7880723,-51.00683869,,dead,Bird
2010/2011,necropsy,net,trawl,Barracouta,East Coast South Island,173.6097567,-44.06454033,,dead,Bird
2010/2011,necropsy,net,trawl,Arrow squid,Stewart Snares Shelf,167.5207642,-48.75815798,,dead,Bird
2010/2011,necropsy,net,trawl,Arrow squid,Stewart Snares Shelf,167.4893755,-48.76298395,,dead,Bird
2010/2011,necropsy,net,trawl,Arrow squid,Stewart Snares Shelf,167.5022865,-48.77294667,,dead,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.3631935,-51.15626842,,dead,Bird
2010/2011,photograph,net,trawl,Scampi,Auckland Islands,166.3616241,-51.14622007,,dead,Bird
